id_run,id_timestamp,id_repeat,prj_name,mth_name,mth_version,mth_chars,mth_param_definition_of_done,mth_param_constraint_order,mth_param_doc_types,mth_param_review_rounds,mth_param_gate_style,mth_param_phase_budget,mth_param_retry_policy,cfg_campaign,cfg_engine,cfg_cli_version,cfg_model,cfg_effort,cfg_provider,cfg_endpoint,cfg_effort_enforced,cfg_bound,cfg_user_claude_md,cfg_review_pass,cfg_review_model,cfg_fix_model,cfg_review_prompt,cfg_review_weight,cfg_tools,res_score_baseline,res_score,res_score_holdout,res_bestof_n,res_bestof_min,res_bestof_max,res_verification_passed,res_verification_error,res_verification_exit,res_review_findings,res_review_issues,res_review_actionable,res_review_fixed,res_review_error,res_tests_tampered,res_files_added,res_files_added_src,res_diff_lines,res_lines_added,res_lines_removed,res_artifacts,res_subtype,res_hit_turn_cap,res_subagents_spawned,res_permission_denials,res_model_served,res_sloc,res_sloc_baseline,res_sloc_delta,res_chars,res_complexity,res_mi,res_parsimony_factor,res_max_func_sloc,res_max_nesting,res_lint_errors,res_docstring_cov,res_comment_density,tk_input,tk_output,tk_thinking,tk_cache_write,tk_cache_read,tk_cost_usd,tk_bestof_cost_usd,tk_review_input,tk_review_output,tk_review_cache_write,tk_review_cache_read,tk_review_cost_usd,tk_fix_input,tk_fix_output,tk_fix_cache_write,tk_fix_cache_read,tk_fix_cost_usd,prf_turns,prf_duration_s,prf_review_s,prf_fix_s,cfg_entry_file,res_stop_reason,res_error_name,res_error_status,res_tool_calls,res_subagents_failed,res_subagents_refused,res_web_searches,res_context_window,res_service_tier,prf_api_s,prf_ttft_s,res_syntax_ok,res_syntax_error,res_collection_errors,sc_duration,sc_turns,sc_output,sc_cost_usd,sc_mi,sc_max_nesting,sc_max_func_sloc,sc_effort,sc_quality,sc_overall_mean,sc_overall_ratio,cfg_walltime_s,cfg_free_ram_gb
run_m48_syntax_gate_p02_python_medium_20260913_023833_r01,20260913_023833,1,p02_python_medium,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e08_local_qwen3coder_30b,opencode,1.18.30,litellm/qwen3-coder-30b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.0000,0.0000,,,,false,false,1,,,,,,false,0,0,0,0,0,,APIError,,,,,29,29,0,1335,9,52.5,1.0,3,2,0,100.0,0.0,,,,,,,,,,,,,,,,,,,272.5,,,AGENTS.md,,APIError,500,,,,,,,,,true,,0,,,,,,,,,,,,,
run_m48_syntax_gate_p03_python_large_20260913_024323_r01,20260913_024323,1,p03_python_large,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e06_local_gptoss_20b,opencode,1.18.30,litellm/gpt-oss-20b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.8000,1.0000,,,,true,false,0,,,,,,false,0,0,123,113,10,,harness_timeout,false,,,,131,37,94,5220,36,24.8,0.8,40,4,2,100.0,1.5,361358,6797,3326,0,0,0,,,,,,,,,,,,28,9393.2,,,AGENTS.md,tool-calls,,,26,,,,,,,,true,,0,0.27942,0.78113,0.90185,,0.72691,0.73814,0.49166,0.65413,0.65224,0.65319,0.70670,,
run_m48_syntax_gate_p03_python_large_20260913_052007_r01,20260913_052007,1,p03_python_large,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e07_local_qwen3_4b,opencode,1.18.30,litellm/qwen3-4b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.0000,0.0000,,,,false,false,1,,,,,,false,0,0,0,0,0,,success,false,,,,37,37,0,1879,7,49.1,1.0,5,1,4,100.0,0.0,70125,359,6463,0,0,0,,,,,,,,,,,,6,1316.2,,,AGENTS.md,stop,,,5,,,,,,,,true,,0,,,,,,,,,,,,,
run_m48_syntax_gate_p03_python_large_20260913_054211_r01,20260913_054211,1,p03_python_large,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e08_local_qwen3coder_30b,opencode,1.18.30,litellm/qwen3-coder-30b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.0000,0.0000,,,,false,false,1,,,,,,false,0,0,0,0,0,,APIError,,,,,37,37,0,1879,7,49.1,1.0,5,1,4,100.0,0.0,,,,,,,,,,,,,,,,,,,227.6,,,AGENTS.md,,APIError,500,,,,,,,,,true,,0,,,,,,,,,,,,,
run_m48_syntax_gate_p04_python_xlarge_20260913_054615_r01,20260913_054615,1,p04_python_xlarge,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e06_local_gptoss_20b,opencode,1.18.30,litellm/gpt-oss-20b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.0000,0.0000,,,,false,false,1,,,,,,false,0,0,107,91,16,,success,false,,,,140,67,73,5897,30,26.0,1.0,42,4,4,100.0,0.7,1118310,7661,4242,0,0,0,,,,,,,,,,,,53,3527.9,,,AGENTS.md,length,,,52,,,,,,,,false,money.py:4 unexpected indent,7,,,,,,,,,,,,,
run_m48_syntax_gate_p04_python_xlarge_20260913_064512_r01,20260913_064512,1,p04_python_xlarge,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e07_local_qwen3_4b,opencode,1.18.30,litellm/qwen3-4b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.0000,0.0000,,,,false,false,1,,,,,,false,0,0,0,0,0,,success,false,,,,67,67,0,3377,12,40.6,1.0,5,1,4,100.0,0.0,8677,5,1596,0,0,0,,,,,,,,,,,,1,319.6,,,AGENTS.md,stop,,,,,,,,,,,true,,0,,,,,,,,,,,,,
run_m48_syntax_gate_p04_python_xlarge_20260913_065040_r01,20260913_065040,1,p04_python_xlarge,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e08_local_qwen3coder_30b,opencode,1.18.30,litellm/qwen3-coder-30b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.0000,0.0000,,,,false,false,1,,,,,,false,0,0,0,0,0,,APIError,,,,,67,67,0,3377,12,40.6,1.0,5,1,4,100.0,0.0,,,,,,,,,,,,,,,,,,,274.6,,,AGENTS.md,,APIError,500,,,,,,,,,true,,0,,,,,,,,,,,,,
run_m00_empty_p01_python_small_20260913_174628_r01,20260913_174628,1,p01_python_small,m00_empty,,0,,,,,,,,.llm_config.e06_local_gptoss_20b,opencode,1.18.30,litellm/gpt-oss-20b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.9080,,,,,true,false,0,,,,,,false,0,0,14,13,1,,success,false,,,,14,6,8,756,3,57.5,0.908,13,1,0,100.0,28.6,59355,926,1280,0,0,0,,,,,,,,,,,,8,374.9,,,AGENTS.md,stop,,,7,,,,,,,,true,,0,0.47239,0.64190,0.70696,,0.85752,1.00000,0.52441,0.60708,0.79398,0.70053,0.83889,,
run_m00_empty_p01_python_small_20260913_175252_r01,20260913_175252,1,p01_python_small,m00_empty,,0,,,,,,,,.llm_config.e07_local_qwen3_4b,opencode,1.18.30,litellm/qwen3-4b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.9260,,,,,true,false,0,,,,,,false,0,0,17,12,5,,success,false,,,,13,6,7,458,3,58.6,0.926,10,3,0,50.0,0.0,54124,688,10276,0,0,0,,,,,,,,,,,,4,1685.7,,,AGENTS.md,stop,,,3,,,,,,,,true,,0,0.25846,0.82095,0.77824,,0.89672,0.00000,0.86373,0.61922,0.58682,0.60302,0.62402,,
run_m00_empty_p01_python_small_20260913_182105_r01,20260913_182105,1,p01_python_small,m00_empty,,0,,,,,,,,.llm_config.e08_local_qwen3coder_30b,opencode,1.18.30,litellm/qwen3-coder-30b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.0000,,,,,false,false,1,,,,,,false,0,0,0,0,0,,APIError,,,,,6,6,0,258,1,76.6,1.0,5,1,0,100.0,0.0,,,,,,,,,,,,,,,,,,,257.8,,,AGENTS.md,,APIError,500,,,,,,,,,true,,0,,,,,,,,,,,,,
